subset,order_sequence,order_min,order_max,n_obs,distribution,delta_min,delta_max,mu_degree,sigma_degree,nll,rmse,mae,success,message,beta_mu_0,beta_mu_1,beta_sigma_0,beta_sigma_1,beta_sigma_2
order_10,10,10,10,8860,truncated_gaussian,-3.699780994474596,2.5708398149375107,1,2,1.4061127499287822,1.0366717210063432,0.8666859262924954,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,-2.1396315970751463,0.589363435445715,0.6962467428801212,-1.4309009901776384,0.7262333339694594
order_11,11,11,11,8120,truncated_gaussian,-3.699780994474596,2.5708398149375107,1,2,1.3219859624962138,0.9315396784033761,0.7563227082752177,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,-1.8869413372264343,0.3806562062685632,0.5335175158130506,-1.395338288341713,0.7159924489074262
order_12,12,12,12,7418,truncated_gaussian,-3.699780994474596,2.5708398149375107,1,2,1.337089535877466,0.9430344199963282,0.7446622380338943,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,-1.708552515472872,0.06645031665579658,0.3864891532701262,-1.2048223076757136,0.8202152450295547
order_13,13,13,13,6808,truncated_gaussian,-3.699780994474596,2.5708398149375107,1,2,1.201808325359524,0.8169074474438602,0.6521678058047583,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,-1.6870662264630514,0.3409391770995065,0.3482967211143998,-1.5254743361208336,0.9443497476917396
order_14,14,14,14,6212,truncated_gaussian,-3.699780994474596,2.5708398149375107,1,2,1.2006473164281324,0.8111556370418902,0.6420296161027961,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,-1.6507498891784842,0.3768602084035385,0.1733930266124108,-0.9250158544448831,0.47621085628259324
order_15,15,15,15,5680,truncated_gaussian,-3.699780994474596,2.5708398149375107,1,2,1.2197606227142435,0.8293214127710603,0.6685187968531219,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,-1.6864774172428216,0.5122126555121947,0.24487125636446458,-1.060707536957735,0.5566701167179582
order_16,16,16,16,5179,truncated_gaussian,-3.699780994474596,2.5708398149375107,1,2,1.1982748247474335,0.8122572716927556,0.63524317367841,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,-1.6670384198577608,0.5021070280538817,0.2578018186860957,-1.1835244254114563,0.645492327475384
order_17,17,17,17,4679,truncated_gaussian,-3.699780994474596,2.5708398149375107,1,2,1.2159751064193745,0.8235517829299634,0.6446807726350412,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,-1.5936076892064144,0.37214358877674497,0.15313680386456316,-0.8240049257590065,0.4127567648807926
order_18,18,18,18,4208,truncated_gaussian,-3.699780994474596,2.5708398149375107,1,2,1.2064300534491526,0.8200370911180324,0.6174588630836183,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,-1.6756752412717568,0.5668150776809564,0.2840036346822123,-1.246133822289198,0.692625806896636
order_19,19,19,19,3845,truncated_gaussian,-3.699780994474596,2.5708398149375107,1,2,1.3023623418397139,0.8998612103342014,0.7101195076325338,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,-1.6904012992312318,0.5100350853033572,0.24531829753542916,-0.9297541029091334,0.5656635464712787
