subset,order_sequence,order_min,order_max,n_obs,distribution,delta_min,delta_max,mu_degree,sigma_degree,nll,rmse,mae,success,message,beta_mu_0,beta_mu_1,beta_sigma_0,beta_sigma_1,beta_sigma_2
order_19,19,19,19,1510,truncated_gaussian,-1.291774115036601,1.3071011833238282,1,2,0.36445271228353426,0.35084920429917427,0.272205650807939,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,-0.12585456347270618,-0.02188564024778702,-0.9959527603607102,0.012480908402913557,-0.17347906668074978
order_20,20,20,20,1472,truncated_gaussian,-1.291774115036601,1.3071011833238282,1,2,0.34675123319401424,0.34511499039937543,0.2712743011930009,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,-0.1334182216474508,-0.052458319824753824,-1.008708881860273,0.046668185116788906,-0.20763213224791274
order_21,21,21,21,1436,truncated_gaussian,-1.291774115036601,1.3071011833238282,1,2,0.4080983062446804,0.3647638017724548,0.2841678384589629,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,-0.12435959650192449,-0.022475234642815197,-0.9800001989270443,0.009678200173411105,-0.08080239768784908
order_22,22,22,22,1404,truncated_gaussian,-1.291774115036601,1.3071011833238282,1,2,0.3982714122123813,0.36246941055386533,0.28605028870105753,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,-0.13725736777927267,-0.042882487596340314,-0.9622202498295409,-0.07450104899950352,-0.10372846331621105
order_23,23,23,23,1381,truncated_gaussian,-1.291774115036601,1.3071011833238282,1,2,0.3901808920989213,0.3601515996574815,0.2824701477694962,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,-0.12696296482875613,-0.03650916509271869,-0.9626034539051359,0.016341528909164647,-0.1837870876797487
order_24,24,24,24,1342,truncated_gaussian,-1.291774115036601,1.3071011833238282,1,2,0.38908830808212375,0.3581388332604864,0.2816737970425558,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,-0.13813779422580694,-0.010223784584872966,-0.990914240678237,-0.004391436084593037,-0.09233510316369928
order_25,25,25,25,1312,truncated_gaussian,-1.291774115036601,1.3071011833238282,1,2,0.39531885534614697,0.36181051949065296,0.2806459603764611,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,-0.13150478250260883,-0.02726854499505782,-0.9587829083315251,-0.06207854119207511,-0.12362424647717049
order_26,26,26,26,1281,truncated_gaussian,-1.291774115036601,1.3071011833238282,1,2,0.3936956650475436,0.35973026317621437,0.28051823378220836,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,-0.1216996647685646,-0.034799959632194406,-0.9843230704676945,0.0004972365064629679,-0.09802316422558356
order_27,27,27,27,1260,truncated_gaussian,-1.291774115036601,1.3071011833238282,1,2,0.38733186166109096,0.35737504526608393,0.2795742570943777,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,-0.11912293863786998,-0.0646334001759365,-0.9997184852357337,-0.06946034092061722,-0.02911285295973266
order_28,28,28,28,1235,truncated_gaussian,-1.291774115036601,1.3071011833238282,1,2,0.40103148065002386,0.3620597987434705,0.2805722955174939,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,-0.13392478314052636,-0.03050090618016568,-0.9870892554052857,-0.015304065858205929,-0.0573465113437164
order_29,29,29,29,1204,truncated_gaussian,-1.291774115036601,1.3071011833238282,1,2,0.40162906188127134,0.3654659868133425,0.2843710414437285,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,-0.12605601678879472,-0.04942460580543962,-0.9332039443087063,-0.13039556845464295,-0.11661990705642308
order_30,30,30,30,1172,truncated_gaussian,-1.291774115036601,1.3071011833238282,1,2,0.4041038931105796,0.36322246994710944,0.2863271109889378,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,-0.12157624413982328,-0.039043109371525546,-0.9912796262033036,-0.06288959838282888,-0.0060560523635739775
order_31,31,31,31,1151,truncated_gaussian,-1.291774115036601,1.3071011833238282,1,2,0.38780473762553186,0.3569426562480073,0.27981776668196856,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,-0.12007019076560008,-0.03421220873948788,-1.0142621783679453,0.013342395710702936,-0.04050712397335962
order_32,32,32,32,1128,truncated_gaussian,-1.291774115036601,1.3071011833238282,1,2,0.41058886674203937,0.36652382156149343,0.28332497326831435,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,-0.14292338092234777,-0.03905462874434192,-0.9527422386622794,-0.0271899431677204,-0.10338790554344683
order_33,33,33,33,1103,truncated_gaussian,-1.291774115036601,1.3071011833238282,1,2,0.4202062101197407,0.3687851876578731,0.28516714973009527,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,-0.12121536431304504,-0.02634523824761283,-1.0056947908373344,0.008106202762949438,0.026570734146250122
order_34,34,34,34,1077,truncated_gaussian,-1.291774115036601,1.3071011833238282,1,2,0.42748838918381993,0.37177127860854103,0.2900951706930365,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,-0.1386262450789321,-0.01524570854731071,-0.976557367065091,0.05013116288154846,-0.05173818815206951
order_35,35,35,35,1062,truncated_gaussian,-1.291774115036601,1.3071011833238282,1,2,0.3935930154560172,0.3589966081608525,0.28027776965083334,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,-0.12333822262738876,-0.03170562255801472,-1.014618351130688,0.022194306004518324,-0.0291988110449962
order_36,36,36,36,1041,truncated_gaussian,-1.291774115036601,1.3071011833238282,1,2,0.36385880231490086,0.34842796217957267,0.27427429103661255,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,-0.11311164527090894,-0.0386263069598549,-1.0393871550038325,-0.0008889072517634295,-0.029215099923026566
order_37,37,37,37,1025,truncated_gaussian,-1.291774115036601,1.3071011833238282,1,2,0.385911921625931,0.3574178801916019,0.2769193368088962,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,-0.13179479183340637,-0.00047660840080327506,-0.9826582164002621,0.022136586030721744,-0.12278736317598468
order_38,38,38,38,1010,truncated_gaussian,-1.291774115036601,1.3071011833238282,1,2,0.40416880812672606,0.3634169751347591,0.2862020133113648,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,-0.1251855613935569,-0.016457764627056427,-0.9763830157701704,-0.056229068408647304,-0.03950380895969974
order_39,39,39,39,989,truncated_gaussian,-1.291774115036601,1.3071011833238282,1,2,0.4021381212992841,0.36207911643252416,0.2841123463528294,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,-0.10657779707835797,-0.04027470723852845,-1.0031115106875472,-0.025784307875525755,-0.003532343954275372
order_40,40,40,40,964,truncated_gaussian,-1.291774115036601,1.3071011833238282,1,2,0.3748127652096083,0.35225469009715565,0.2780669120515755,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,-0.11007015990787168,-0.044613784506011875,-1.0313888096938375,0.005139962347942014,-0.024384419686851715
order_41,41,41,41,949,truncated_gaussian,-1.291774115036601,1.3071011833238282,1,2,0.3810479856560367,0.35465042906829386,0.28187571373544923,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,-0.11385581257545761,-0.006783519682305157,-1.0250689162074367,0.0305036829400468,-0.042228174945108374
order_42,42,42,42,936,truncated_gaussian,-1.291774115036601,1.3071011833238282,1,2,0.38431357988843284,0.3558356497855295,0.27935356900248437,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,-0.13137418024547715,-0.02113060004295113,-1.0082939214094047,-0.012440995427488614,-0.04058945759244376
order_43,43,43,43,926,truncated_gaussian,-1.291774115036601,1.3071011833238282,1,2,0.4144200544109786,0.36753307589872913,0.2924110485719485,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,-0.1257233461761176,-0.009267649383776883,-0.9636062529099515,-0.08317694302707972,-0.01933146154643967
order_44,44,44,44,911,truncated_gaussian,-1.291774115036601,1.3071011833238282,1,2,0.4120789516052583,0.36589546091617114,0.28747111513643764,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,-0.12240092371144266,0.01565170668845788,-0.9787026143922529,0.0008053803011210369,-0.051287916557165775
order_45,45,45,45,893,truncated_gaussian,-1.291774115036601,1.3071011833238282,1,2,0.3930808333362025,0.35968376448975786,0.2848084314077575,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,-0.13119662713995991,0.031160427019952214,-0.9742669544339793,-0.043897396964393945,-0.07112656759676776
order_46,46,46,46,887,truncated_gaussian,-1.291774115036601,1.3071011833238282,1,2,0.3768086525507485,0.35327513806337735,0.28232627457076714,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,-0.13528711037360922,0.024725986241088065,-1.0146411957924482,-0.04829267633224333,-0.017138355393290394
order_47,47,47,47,877,truncated_gaussian,-1.291774115036601,1.3071011833238282,1,2,0.37937587952765267,0.3560202686725072,0.2808479826348529,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,-0.12497122242874212,0.013232759999434584,-0.9618585056072296,-0.024155508039588342,-0.14041105989532238
order_48,48,48,48,866,truncated_gaussian,-1.291774115036601,1.3071011833238282,1,2,0.37015517415612376,0.35191988692290965,0.2815511577386298,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,-0.14587860358754512,0.006439199206797797,-0.9889260132216063,-0.05709002510203224,-0.07779982518811836
order_49,49,49,49,856,truncated_gaussian,-1.291774115036601,1.3071011833238282,1,2,0.372735644505692,0.35210080737971494,0.283961793136083,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,-0.14017167378362824,0.024811152500788945,-1.0267792746972433,0.059823273554927274,-0.07522929733372903
