objective,beta_mu_0,beta_mu_1,beta_sigma_0,beta_sigma_1,beta_sigma_2
ips,-0.04152359068393707,0.2691531777381897,-0.9254748225212097,0.15450792014598846,-0.20950520038604736
snips,-0.3696255683898926,0.3008955121040344,-1.289766788482666,-0.1938014179468155,-0.2943349778652191
dr,-0.33648499846458435,0.2999008297920227,-1.2834817171096802,-0.16361798346042633,-0.2883874177932739
mis,0.06198174133896828,0.25103890895843506,-0.886419951915741,0.06661579757928848,-0.21010304987430573
