objective,beta_mu_0,beta_mu_1,beta_sigma_0,beta_sigma_1,beta_sigma_2
ips,0.19774597883224487,0.8159158825874329,-1.3618190288543701,-0.6256763935089111,-0.5879495739936829
snips,0.23169948160648346,0.9835616946220398,-1.0482405424118042,-0.5447524189949036,-0.6047503352165222
dr,0.34928128123283386,1.0894500017166138,-1.1277166604995728,-0.5159667730331421,-0.541968584060669
mis,0.2029089778661728,0.8140936493873596,-1.3540915250778198,-0.6239209175109863,-0.5884751677513123
