subset,order_sequence,order_min,order_max,n_obs,distribution,delta_min,delta_max,mu_degree,sigma_degree,nll,rmse,mae,success,message,beta_mu_0,beta_mu_1,beta_sigma_0,beta_sigma_1,beta_sigma_2
order_19,19,19,19,8372,truncated_gaussian,-1.7558835788836342,0.7095271785150208,1,2,0.7921817702699995,0.5558847112890879,0.44796289857483057,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,-0.6711256603940376,0.22443481633354473,-0.45533266510147113,0.11883583358929167,-0.10598566125680703
order_20,20,20,20,8110,truncated_gaussian,-1.7558835788836342,0.7095271785150208,1,2,0.7930943117919101,0.5566725456032383,0.4481373638812015,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,-0.6618481899582579,0.22053079674580972,-0.49035747766351895,0.17488675565798598,-0.0922354547402107
order_21,21,21,21,7838,truncated_gaussian,-1.7558835788836342,0.7095271785150208,1,2,0.7917142562435263,0.5554156856101214,0.44655367293687576,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,-0.6460871815172317,0.21228266967420614,-0.48019011160476355,0.1566094025895624,-0.10219416650867248
order_22,22,22,22,7595,truncated_gaussian,-1.7558835788836342,0.7095271785150208,1,2,0.7890900755935719,0.5533339872386941,0.44393444226957557,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,-0.6342316785586865,0.1953593105250531,-0.48022000173818175,0.16388863471673895,-0.12983686393756178
order_23,23,23,23,7357,truncated_gaussian,-1.7558835788836342,0.7095271785150208,1,2,0.795742977357708,0.558401507802969,0.44975609909956665,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,-0.6403523572502947,0.2022013980175805,-0.4485827395996288,0.14559424127897452,-0.13444254878802406
order_24,24,24,24,7129,truncated_gaussian,-1.7558835788836342,0.7095271785150208,1,2,0.7943357016149263,0.5574891481068038,0.4490018366919266,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,-0.6361053970995055,0.20741324313297876,-0.4243202157465571,0.1161667823287038,-0.15801360428094197
order_25,25,25,25,6923,truncated_gaussian,-1.7558835788836342,0.7095271785150208,1,2,0.7869228467048598,0.5522670424495396,0.4440021720971431,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,-0.620489925541987,0.2107434058813046,-0.43545736742150337,0.11933353370526797,-0.17944710070900616
order_26,26,26,26,6723,truncated_gaussian,-1.7558835788836342,0.7095271785150208,1,2,0.7845149266227521,0.550251574987674,0.44164174757165237,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,-0.6011366895611381,0.1883154747989888,-0.4718627344576868,0.16011556669892343,-0.1673310610639794
order_27,27,27,27,6550,truncated_gaussian,-1.7558835788836342,0.7095271785150208,1,2,0.790792792131773,0.5546355441571099,0.44454707004042077,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,-0.5934523576674544,0.18024538502319548,-0.44675609155407464,0.10178499647021844,-0.11139172365811416
order_28,28,28,28,6361,truncated_gaussian,-1.7558835788836342,0.7095271785150208,1,2,0.7947099940240756,0.5574651626806181,0.4478544198554422,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,-0.5932355371984093,0.17276517706010797,-0.42680534528784825,0.08341283972217305,-0.1090554805426638
order_29,29,29,29,6195,truncated_gaussian,-1.7558835788836342,0.7095271785150208,1,2,0.7982821801467382,0.5603384500049534,0.4507286178861294,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,-0.5963674566296818,0.17987321168782772,-0.4021901659524122,0.062349197716811286,-0.11200057787142575
